code,discount_amount,description
50OFF2000,$50 off,"Purchases of $2,000 or more."
NY15OFF,15% off,Select items.
CRBTN15,15% off,Eligible purchases.
SAVE15IN21AND22,15% off,Eligible items.
UROCK100OFF,5% off,Orders with UROCK100OFF.
SAVEONCR15,15% off,Eligible items.
KNIFETHERAPY,10% off,Select products.
3STRIPEHOLIDAY,Up to 30% off,Holiday deals.
BRANDJC1710OFF,10% off,Select brands.
MEMDWN3SPBKKGC7M,Up to 15% off,Purchases.
MASTERCARD,$10 off,Orders when paying with Mastercard.
TAKEFIVEOFF,$5 off,Orders $5+.
WELCOME5,$5 off,New user orders.
PROMO15OFF,Up to 15% off,Your order.
GREENASHESS,$5 off,Eligible items.
PROTECTIT,Up to 10% off,Orders.
PINBF2021,Up to 20% off,Purchases.
SAVEONBAGS,Up to 25% off,Handbags.
HAPPY25,Up to 25% off,Select items.
FIVEFREE,$5 off,Orders.
TIME2SAVE,10% off,"Watches priced $2,000+."
CYBERWEEK20,20% off,Select items during Cyber Week.
HOSTWITHMOST,25% off,Select categories.
FIFTEENFORYOU,15% off,Home and tech.
ALI25DEAL,25% off,Select deals.
STUNNER,Seasonal promo,Tional savings.
SHOPNOV22,Seasonal discount,Seasonal promotional code.
AUTODEALTEN,10% off,Auto parts and deals.
JULYFINDS,Summer sale savings,Discount during summer sale.
LOVELUXE15,15% off,Select purchases.
JSAVE15,15-20% off,Eligible items.
PLUSDELIVERY,Free delivery,Orders $80+.
NEWFAVE15,$155 off,Vacuums and appliances.
NEW2026,20% off,Watches and accessories.
BESTGIFTS,15% off,Home and tech gifts.
COOL8,£5.60 off,Select items.
PARTS2025,10% off up to €50,Motor parts up to €50.
STARTNOW20,20% off,Black Friday deals.
SMARTWINS,20% off,"Eligible tech, home, auto, tools, electronics, and selected items."
TECHREFURB20,20% off,"Eligible Refurbished tech, tools, appliances, and golf gear."
MAKEITLAST,20% off,"Eligible clothing, shoes, and accessories."
OVERLANDING10,10% off,"Eligible truck parts, towing gear, and auto accessories."
TEEUP20,20% off,Eligible golf gear.
FINEPIECES,10% off,Eligible watches and jewelry.
FANWEEK26,$5-$120 off,Eligible Fan Week items depending on cart total.
DYSONCLEAN,20% off,Manufacturer refurbished Dyson products.
