code,discount_amount,description
BUSINESSPRO,15% off,Business class flights.
SUMMERSPLASH,Up to 20% off,Summer sale flights.
STUDENT,12% off,Flights for students.
BOWEY,10% off,Flights booked via Wego.
WEGOFAMILY26,5% off,Hotel or flight bookings with at least one child.
WEGOVIP26,$30 off,Premium hotel stays over $700.
EYUS30,10% off,Flights.
EYSIEMENS25,10% off,Flights with partner code.
TAKEOFF20,20% off,Eligible flights.
Y20,20% off,Select economy and business fares.
U10,10% off,Select bookings.
GRP,15% off,Group bookings.
