code,discount_amount,description
FLYQR,Up to 7% off,Flights with extra baggage for Privilege Club members.
EARLYPC,Up to 10% off,Early spring flight bookings.
LASTMINPC,Up to 10% off,Last-minute flight bookings.
PCJAN26,Up to 12% off,Flights booked in January.
PCAMER26,"4,000 bonus Avios",After completing your first flight.
PCEUR26,10% off,European and Australian routes.
BOWQR,10% off,Flights.
EURAU26,Up to 10% off,Flights to and from Australia and New Zealand.
FRENZY,12% off,Flights across Australia.
SEACN25,15% off,Flights in Southeast Asia and China using Visa.
QTENNIS26,10% off,Flights for tennis event promotions.
AUNZ26,Up to 10% off,Flights in Australia and NZ region.
REUNITE,10% off,Flights for reunion travel.
INTER25,Up to 12% off,International routes.
UCL25,Up to 12% off,UEFA Champions League fans.
PSGFANS25,Up to 12% off,PSG fans.
F1FANS,10% off,Flights for Formula 1 fans.
MOTOGP,Up to 10% off,Flights for MotoGP fans.
TAKE5,5% off,Selected flights.
GOMOBILE,Up to 5% off,When booking via mobile.
FLY2025,Up to 10% off,Future flights.
QRNZ10,10% off,Flights to and from New Zealand.
QRAU10,10% off,Flights to and from Australia.
VISAKRJP,Up to 10% off,Flights to Korea or Japan with Visa.
MASTERCARD,Up to 10% off,Flights when paying with MasterCard.
QRDISNEY,Up to 12% off,Flights linked to Disney promotions.
PCSEA26,10% off,Southeast Asia flights.
PCGCN26,10% off,Flights to mainland China.
AMOFFER26,Up to 10% off,Flights from America.
QRHSC,Up to 10% off,Healthcare professionals.
PCMEC26,Up to 10% off,Promo for Middle East and Africa flights.
APVISA26,Up to 10% off,Discount on Asia Pacific flights with Visa.
DECPC25,Up to 10% off,December bookings.
PCJAN25,Up to 10% off,January bookings.
PCMAR25,Up to 10% off,March bookings.
SAVENOW,Up to 10% off,General flight savings.
